* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
2	12	0	20	111301	1	17	10
2	13	0	18	111301	0	17	10
2	14	0	18	111301	0	17	10
2	15	0	18	111301	0	17	10
2	16	0	18	111301	1	17	10
3	1	0	20	111301	1	35	10
3	2	0	20	111301	1	35	10
3	3	0	20	111301	1	35	10
4	1	0	20	111301	1	46	10
4	2	0	20	111301	1	46	10
4	3	0	20	111301	1	46	10
4	4	0	20	111301	1	46	10
4	5	0	20	111301	1	46	10
4	6	0	20	111301	1	46	10
4	7	0	20	111301	1	46	10
4	8	0	20	111301	1	46	10
4	9	0	20	111301	1	46	10
4	10	0	20	111301	1	46	10
4	11	0	20	111301	1	46	10
4	12	0	20	111301	1	46	10
4	13	0	18	111301	1	46	10
4	14	0	16	111301	0	46	10
4	15	0	18	111301	0	46	10
4	16	0	18	111301	0	46	10
5	1	0	20	111301	1	55	10
5	2	0	18	111301	1	55	10
5	3	0	18	111301	1	55	10
5	4	0	16	111301	0	55	10
5	5	0	18	111301	0	55	10
6	1	0	20	111301	1	69	10
6	2	0	20	111301	1	69	10
6	3	0	18	111301	0	69	10
6	4	0	18	111301	1	69	10
6	5	0	18	111301	1	69	10
6	6	0	20	111301	1	69	10
7	1	0	18	111301	1	82	10
7	2	0	16	111301	0	82	10
8	1	0	20	111301	1	85	10
8	2	0	20	111301	1	85	10
8	3	0	20	111301	1	85	10
8	4	0	20	111301	1	85	10
8	5	0	20	111301	1	85	10
8	6	0	20	111301	1	85	10
8	7	0	20	111301	1	85	10
8	8	0	20	111301	1	85	10
8	9	0	20	111301	1	85	10
8	10	0	20	111301	1	85	10
8	11	0	20	111301	1	85	10
8	12	0	20	111301	1	85	10
8	13	0	20	111301	1	85	10
8	14	0	20	111301	1	85	10
8	15	0	20	111301	1	85	10
8	16	0	20	111301	1	85	10
8	17	0	20	111301	1	85	10
8	18	0	18	111301	0	85	10
8	19	0	16	111301	0	85	10
8	20	0	18	111301	1	85	10
8	21	0	16	111301	0	85	10
8	22	0	18	111301	0	85	10
1	1	0	20	111301	1	3	11
1	2	0	20	111301	1	3	11
1	3	0	18	111301	0	3	11
