* Dictionary *
date:       session date (month/day/year/*, * is a decimal to separate different sessions conducted on the same day)
random:     sessions with the same value of random had the same random termination sequence
treatment:	= 1 if RT, = 2 if D + RT, = 3 if BRT, = 4 if D + C (see paper for details) 
id:         id #, constant through session
match:      match #
round:      round #
group:      identifies subjects that were grouped together for a match
valid:      = 1 if round counts toward final payoffs and is not last, = 0 if round counts toward final payoff and is last, = -1 if round does not count towards final payoffs; except for treatment = 2 where it takes on value 0 when the random number > 0.75 and -1 afterward, even if the game continued because it was in the front loaded part with payoff discounting.
spe:        = 1 if joint cooperation can be supported in equilibrium; 0 o/w
coop:       = 1 if subject cooperated, = 0 o/w
**************

date	random	treatment	id	match	round	group	valid	spe	coop
110609.1	1	1	5	7	1	61	1	1	0
110609.1	1	1	5	7	2	61	1	1	0
110609.1	1	1	5	7	3	61	1	1	0
110609.1	1	1	5	7	4	61	0	1	0
110609.1	1	1	5	8	1	73	1	1	0
110609.1	1	1	5	8	2	73	1	1	0
110609.1	1	1	5	8	3	73	1	1	0
110609.1	1	1	5	8	4	73	1	1	0
110609.1	1	1	5	8	5	73	0	1	0
110609.1	1	1	5	9	1	85	1	1	0
110609.1	1	1	5	9	2	85	1	1	1
110609.1	1	1	5	9	3	85	1	1	1
110609.1	1	1	5	9	4	85	1	1	0
110609.1	1	1	5	9	5	85	1	1	0
110609.1	1	1	5	9	6	85	1	1	1
110609.1	1	1	5	9	7	85	1	1	1
110609.1	1	1	5	9	8	85	1	1	1
110609.1	1	1	5	9	9	85	0	1	0
110609.1	1	1	5	10	1	97	1	1	0
110609.1	1	1	5	10	2	97	0	1	1
110609.1	1	1	5	11	1	104	1	1	0
110609.1	1	1	5	11	2	104	1	1	1
110609.1	1	1	5	11	3	104	1	1	0
110609.1	1	1	5	11	4	104	1	1	1
110609.1	1	1	5	11	5	104	1	1	1
110609.1	1	1	5	11	6	104	1	1	1
110609.1	1	1	5	11	7	104	1	1	1
110609.1	1	1	5	11	8	104	1	1	1
110609.1	1	1	5	11	9	104	1	1	1
110609.1	1	1	5	11	10	104	0	1	1
110609.1	1	1	5	12	1	116	1	1	0
110609.1	1	1	5	12	2	116	1	1	0
110609.1	1	1	5	12	3	116	1	1	0
110609.1	1	1	5	12	4	116	1	1	0
110609.1	1	1	5	12	5	116	1	1	0
110609.1	1	1	5	12	6	116	1	1	0
110609.1	1	1	5	12	7	116	1	1	0
110609.1	1	1	5	12	8	116	1	1	0
110609.1	1	1	5	12	9	116	1	1	0
110609.1	1	1	5	12	10	116	0	1	0
110609.1	1	1	5	13	1	124	1	0	0
110609.1	1	1	5	13	2	124	1	0	1
110609.1	1	1	5	13	3	124	1	0	1
110609.1	1	1	5	13	4	124	1	0	0
110609.1	1	1	5	13	5	124	0	0	0
110609.1	1	1	5	14	1	137	1	0	0
110609.1	1	1	5	14	2	137	1	0	0
110609.1	1	1	5	14	3	137	1	0	1
110609.1	1	1	5	14	4	137	0	0	0
110609.1	1	1	5	15	1	141	1	0	0
110609.1	1	1	5	15	2	141	1	0	0
110609.1	1	1	5	15	3	141	1	0	0
110609.1	1	1	5	15	4	141	1	0	0
110609.1	1	1	5	15	5	141	1	0	0
110609.1	1	1	5	15	6	141	1	0	0
110609.1	1	1	5	15	7	141	1	0	0
110609.1	1	1	5	15	8	141	0	0	0
110609.1	1	1	5	16	1	155	1	0	0
110609.1	1	1	5	16	2	155	0	0	1
110609.1	1	1	5	17	1	162	1	0	0
110609.1	1	1	5	17	2	162	1	0	0
110609.1	1	1	5	17	3	162	1	0	0
110609.1	1	1	5	17	4	162	1	0	0
110609.1	1	1	5	17	5	162	1	0	0
110609.1	1	1	5	17	6	162	1	0	0
110609.1	1	1	5	17	7	162	1	0	0
110609.1	1	1	5	17	8	162	1	0	0
110609.1	1	1	5	17	9	162	1	0	0
110609.1	1	1	5	17	10	162	1	0	0
110609.1	1	1	5	17	11	162	1	0	0
