* Dictionary *
session:	session #
period:	period #
round:	round # within the period
id:		id #
position:	position in the network; 1:=s1, 2:=s2, 3:=b1, 4:=s3, 5:=s4, 6:=b2, 7:=b3
vote:		= 1 if the subjected accepted the best offer received, i.e. offer_1
by:		position of subject whose offer is accepted
payoff:	payoff in that round
V:		= 1 if subject is part of the V network, = 0 o/w
X:		= 1 if subject is part of the |X| network, = 0 o/w
N:		= 1 if subject is part of the N network, = 0 o/w
amount:	amount to be divided
offer:	amount offered
offer_1:	best offer received
offer_2:	second best offer received
offer_3:	worst offer received
accepted:	= 1 if offer was accepted, = 0 o/w
link_bt:	= 1 if there is a link from the bottom of the V (b1) to the top of the |X| or the N (s3), 0 o/w
link_tb:	= 1 if there is a link from the top of the V (s2) to the bottom of the |X| or the N (b2), 0 o/w
* Note that 10 observations from 5 periods have been changed after publication of the paper. These were recording mistakes.
**************

session	period	round	id	position	vote	by	payoff	V	X	N	amount	offer	offer_1	offer_2	offer_3	accepted	link_bt	link_tb
3	7	2	19	5	0		0	0	1	0	2400		1100			0	1	0
3	7	2	21	7			0	0	1	0	2400	1100				0	1	0
3	7	3	19	5			0	0	1	0	2300	1150				0	1	0
3	7	3	21	7	0		0	0	1	0	2300		1150			0	1	0
3	7	4	19	5	0		0	0	1	0	2200		950			0	1	0
3	7	4	21	7			0	0	1	0	2200	950				0	1	0
3	7	5	19	5			200	0	1	0	2100	900				0	1	0
3	7	5	21	7	0		200	0	1	0	2100		900			0	1	0
3	8	1	15	1			200	1	0	0	2500	1600				0	1	0
3	8	1	18	2			750	1	0	0	2500	1750				1	1	0
3	8	1	20	3	1	2	1750	1	0	0	2500		1750	1600	1150		1	0
3	8	1	21	4			1350	0	1	0	2500	1150				1	1	0
3	8	1	17	5			1250	0	1	0	2500	1250				1	1	0
3	8	1	19	6	1	5	1250	0	1	0	2500		1250	1150			1	0
3	8	1	16	7	1	4	1150	0	1	0	2500		1250	1150			1	0
3	9	1	18	1			650	1	0	0	2500	1850				1	1	0
3	9	1	20	2			200	1	0	0	2500	1800				0	1	0
3	9	1	15	3	1	1	1850	1	0	0	2500		1850	1800	1250		1	0
3	9	1	17	4			1250	0	1	0	2500	1250				0	1	0
3	9	1	16	5			1250	0	1	0	2500	1250				1	1	0
3	9	1	21	6	1	5	1250	0	1	0	2500		1250	1250			1	0
3	9	1	19	7	1	5	1250	0	1	0	2500		1250	1250			1	0
3	10	1	20	1			200	1	0	0	2500	2000				0	1	0
3	10	1	15	2			500	1	0	0	2500	2000				1	1	0
3	10	1	18	3	1	2	2000	1	0	0	2500		2000	2000	1200		1	0
3	10	1	16	4			0	0	1	0	2500	1200				0	1	0
3	10	1	19	5			1250	0	1	0	2500	1250				1	1	0
3	10	1	17	6	1	5	0	0	1	0	2500		1250	1200			1	0
3	10	1	21	7	1	5	1250	0	1	0	2500		1250	1200			1	0
3	10	2	16	4	1	6	1200	0	1	0	2400		1200				1	0
3	10	2	17	6			1200	0	1	0	2400	1200				1	1	0
4	1	1	22	1			200	1	0	0	2500	1250				0	0	0
4	1	1	25	2			1000	1	0	0	2500	1500				1	0	0
4	1	1	27	3	1	2	1500	1	0	0	2500		1500	1250			0	0
4	1	1	23	4			0	0	1	0	2500	1200				0	0	0
4	1	1	24	5			1250	0	1	0	2500	1250				1	0	0
4	1	1	26	6	1	5	1250	0	1	0	2500		1250	1200			0	0
4	1	1	28	7	1	5	0	0	1	0	2500		1250	1200			0	0
4	1	2	23	4	1	7	1200	0	1	0	2400		1200				0	0
4	1	2	28	7			1200	0	1	0	2400	1200				1	0	0
4	2	1	27	1			200	1	0	0	2500	1500				0	0	0
4	2	1	22	2			1000	1	0	0	2500	1500				1	0	0
4	2	1	25	3	1	2	1500	1	0	0	2500		1500	1500			0	0
4	2	1	26	4			0	0	1	0	2500	1000				0	0	0
4	2	1	28	5			1250	0	1	0	2500	1250				1	0	0
4	2	1	23	6	1	5	1250	0	1	0	2500		1250	1000			0	0
4	2	1	24	7	1	5	0	0	1	0	2500		1250	1000			0	0
4	2	2	26	4	1	7	1200	0	1	0	2400		1200				0	0
4	2	2	24	7			1200	0	1	0	2400	1200				1	0	0
4	3	1	25	1			200	1	0	0	2500	1525				0	0	0
4	3	1	27	2			900	1	0	0	2500	1600				1	0	0
4	3	1	22	3	1	2	1600	1	0	0	2500		1600	1525			0	0
4	3	1	24	4			1200	0	1	0	2500	1300				1	0	0
4	3	1	23	5			0	0	1	0	2500	1100				0	0	0
4	3	1	28	6	1	4	1300	0	1	0	2500		1300	1100			0	0
4	3	2	23	5	1	7	1200	0	1	0	2400		1200				0	0
4	3	2	26	7			1200	0	1	0	2400	1200				1	0	0
4	4	1	27	1			850	1	0	0	2500	1650				1	0	0
4	4	1	22	2			200	1	0	0	2500	1600				0	0	0
4	4	1	25	3	1	1	1650	1	0	0	2500		1650	1600			0	0
4	4	1	28	4			1250	0	1	0	2500	1250				1	0	0
4	4	1	26	5			0	0	1	0	2500	1201				0	0	0
4	4	1	23	6	1	4	1250	0	1	0	2500		1250	1201			0	0
4	4	1	24	7	1	4	0	0	1	0	2500		1250	1201			0	0
4	4	2	26	5	1	7	1200	0	1	0	2400		1200				0	0
4	4	2	24	7			1200	0	1	0	2400	1200				1	0	0
4	5	1	25	1			750	1	0	0	2500	1750				1	0	1
4	5	1	27	2			1200	1	0	0	2500	1300				1	0	1
4	5	1	22	3	1	1	1750	1	0	0	2500		1750	1300			0	1
4	5	1	26	4			1250	0	1	0	2500	1250				1	0	1
4	5	1	28	5			200	0	1	0	2500	1250				0	0	1
4	5	1	24	6	1	2	1300	0	1	0	2500		1300	1250	1250		0	1
4	5	1	23	7	1	4	1250	0	1	0	2500		1250	1250			0	1
