* Dictionary *
session: Unique session identifier, From 1 to 3.
round: Number of round. 18 Rounds per session.
stage: Number of stage within round. An additional stage is required if the group did not reach an agreement in the previous stage.
group: Group each subject belongs to.
id: Unique subject identifier (identifies subject across sessions) >= 1
delta: discount value. Could be 0, 0.2, 0.4, 0.6, 0.8 or 1. For one of the 3 blocks of 6 rounds in the experiment the values of delta are randomly chosen.
budget: Total budget to be allocated.
budget_next: budget to be allocated next stage if proposal fails
subject: number of the subject within a group: from 1 to 3.
b1 b2 b3: proposals as submitted by subjets. b1 is the amount allocated to subject with subject number 1 and so on.
sb1, sb2, sb3: share proposed, = bX/money available, [0,1].
computer: whether the proposer will be replaced by a computer (takes value 1) or not (takes value 0)
choice: if the computer makes a proposal choice codifies the type of proposal to be made.
   1: Egalitarian,
   2: Baron and Ferejohn SPE,
   3: Quasi BF. Proposer gets something between BF and egalitarian. Another member gets the difference,
   4: Non Minimum Winning coalition Proposer gets something between BF and half of the budget.
      Another two member split the difference equally,
   5: totally random
proposer: 1 if subject is the proposer, 0 otherwise.
p1 p2 p3: proposal submitted for voting. p1 is the amount allocated to subject with subject number 1 and so on.
sp1, sp2, sp3: share voted on, pX/money available, [0,1].
belief: answer to how likely do you think it is that the proposal comes from a computer? (-1 if Round is 6 or less, between 0 and 100 for Rounds 7 onwards) (Only for Stage 1, Stage 2 onwards equals -1)
vote: 1 if subject voted in favor, 0 if voted against
pass: 1 if proposal received a simple majority of votes
profit: profit made by the subject in the stage.
s_floor: share the subject is offered in the proposal on the floor, [0,1]
prop_s_floor: share to the proposer in the proposal on the floor, [0,1]
prop_s: share a subject offered for himself, [0,1]
high_s: highest offered share excluding the proposer, [0,1]
low_s: lowest offered share excluding the proposer, [0,1]
high_s_floor: highest offered share on the floor excluding the proposer, [0,1]
low_s_floor: lowest offered share on the floor excluding the proposer, [0,1]
mwc: = 1 if subject offered a MWC, 0 o/w.
mwc_floor: = 1 if proposal on the floor is a MWC, 0 o/w.
rmwc: = 1 if subject offered a Relaxed MWC, excluded member gets 10% of budget or less
rmwc_floor: = 1 if proposal on the floor is a Relaxed MWC, excluded member gets 10% of budget or less
equal = 1 if budget divided equally among members
**************

session,round,stage,group,id,subject,delta,budget,budget_next,b1,b2,b3,sb1,sb2,sb3,computer,choice,proposer,p1,p2,p3,sp1,sp2,sp3,belief,vote,pass,profit,s_floor,prop_s_floor,prop_s,high_s,low_s,mwc,mwc_floor,rmwc,rmwc_floor,high_s_floor,low_s_floor,equal
110510_1250,16,1,3,44,3,1,30,30,6,0,24,.2,0,.80000001,0,1,0,20,10,0,.66666669,.33333334,0,.5,1,1,0,0,.66666669,.80000001,.2,0,1,1,1,1,.33333334,0,0
110510_1250,16,1,4,50,1,1,30,30,16,8,6,.53333336,.26666668,.2,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.53333336,.26666668,.2,0,0,0,0,.33333334,.33333334,0
110510_1250,16,1,4,51,2,1,30,30,10,20,0,.33333334,.66666669,0,1,1,0,10,10,10,.33333334,.33333334,.33333334,.02,1,1,10,.33333334,.33333334,.66666669,.33333334,0,1,0,1,0,.33333334,.33333334,0
110510_1250,16,1,4,52,3,1,30,30,15,0,15,.5,0,.5,1,1,0,10,10,10,.33333334,.33333334,.33333334,.58999997,1,1,10,.33333334,.33333334,.5,.5,0,1,0,1,0,.33333334,.33333334,0
110510_1250,16,2,1,47,1,1,30,30,15,7.5,7.5,.5,.25,.25,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.25,.25,0,0,0,0,.33333334,.33333334,0
110510_1250,16,2,1,54,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,5,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110510_1250,16,2,1,46,3,1,30,30,10,0,20,.33333334,0,.66666669,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.66666669,.33333334,0,1,0,1,0,.33333334,.33333334,0
110510_1250,17,1,1,43,1,0,30,0,20,10,0,.66666669,.33333334,0,0,4,0,7,16,7,.23333333,.53333336,.23333333,.1,1,1,7,.23333333,.53333336,.66666669,.33333334,0,1,0,1,0,.23333333,.23333333,0
110510_1250,17,1,1,44,2,0,30,0,7,16,7,.23333333,.53333336,.23333333,0,4,1,7,16,7,.23333333,.53333336,.23333333,0,1,1,16,.53333336,.53333336,.53333336,.23333333,.23333333,0,0,0,0,.23333333,.23333333,0
110510_1250,17,1,1,51,3,0,30,0,10,0,20,.33333334,0,.66666669,0,4,0,7,16,7,.23333333,.53333336,.23333333,.02,1,1,7,.23333333,.53333336,.66666669,.33333334,0,1,0,1,0,.23333333,.23333333,0
110510_1250,17,1,2,45,1,0,30,0,27,3,0,.89999998,.1,0,1,4,0,6.5999999,16.700001,6.6999998,.22,.55666667,.22333333,.15000001,1,1,6.5999999,.22,.55666667,.89999998,.1,0,1,0,1,0,.22333333,.22,0
110510_1250,17,1,2,53,2,0,30,0,4,26,0,.13333334,.86666667,0,1,4,1,6.5999999,16.700001,6.6999998,.22,.55666667,.22333333,-1,1,1,16.700001,.55666667,.55666667,.86666667,.13333334,0,1,0,1,0,.22333333,.22,0
110510_1250,17,1,2,46,3,0,30,0,0,0,30,0,0,1,1,4,0,6.5999999,16.700001,6.6999998,.22,.55666667,.22333333,1,1,1,6.6999998,.22333333,.55666667,1,0,0,1,0,1,0,.22333333,.22,0
110510_1250,17,1,3,50,1,0,30,0,12,8,10,.40000001,.26666668,.33333334,1,3,0,0,20.5,9.5,0,.68333334,.31666666,.99000001,0,1,0,0,.68333334,.40000001,.33333334,.26666668,0,1,0,1,.31666666,0,0
110510_1250,17,1,3,54,2,0,30,0,15,12,3,.5,.40000001,.1,1,3,1,0,20.5,9.5,0,.68333334,.31666666,-1,1,1,20.5,.68333334,.68333334,.40000001,.5,.1,0,1,1,1,.31666666,0,0
110510_1250,17,1,3,48,3,0,30,0,10,0,20,.33333334,0,.66666669,1,3,0,0,20.5,9.5,0,.68333334,.31666666,.80000001,1,1,9.5,.31666666,.68333334,.66666669,.33333334,0,1,1,1,1,.31666666,0,0
110510_1250,17,1,4,47,1,0,30,0,15,7.5,7.5,.5,.25,.25,0,3,0,7,23,0,.23333333,.76666665,0,.75,1,1,7,.23333333,.76666665,.5,.25,.25,0,1,0,1,.23333333,0,0
110510_1250,17,1,4,52,2,0,30,0,7,23,0,.23333333,.76666665,0,0,3,1,7,23,0,.23333333,.76666665,0,0,1,1,23,.76666665,.76666665,.76666665,.23333333,0,1,1,1,1,.23333333,0,0
110510_1250,17,1,4,49,3,0,30,0,9,6,15,.30000001,.2,.5,0,3,0,7,23,0,.23333333,.76666665,0,.28,1,1,0,0,.76666665,.5,.30000001,.2,0,1,0,1,.23333333,0,0
110510_1250,18,1,1,49,1,.2,30,6,30,0,0,1,0,0,0,3,0,10,10,10,.33333334,.33333334,.33333334,.090000004,1,1,10,.33333334,.33333334,1,0,0,1,0,1,0,.33333334,.33333334,0
110510_1250,18,1,1,54,2,.2,30,6,10,10,10,.33333334,.33333334,.33333334,0,3,1,10,10,10,.33333334,.33333334,.33333334,0,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110510_1250,18,1,1,47,3,.2,30,6,7.5,7.5,15,.25,.25,.5,0,3,0,10,10,10,.33333334,.33333334,.33333334,.34999999,1,1,10,.33333334,.33333334,.5,.25,.25,0,0,0,0,.33333334,.33333334,0
110510_1250,18,1,2,45,1,.2,30,6,20,5,5,.66666669,.16666667,.16666667,1,3,0,0,15,15,0,.5,.5,.99000001,0,1,0,0,.5,.66666669,.16666667,.16666667,0,1,0,1,.5,0,0
110510_1250,18,1,2,50,2,.2,30,6,10,16,4,.33333334,.53333336,.13333334,1,3,1,0,15,15,0,.5,.5,-1,1,1,15,.5,.5,.53333336,.33333334,.13333334,0,1,0,1,.5,0,0
110510_1250,18,1,2,53,3,.2,30,6,10,0,20,.33333334,0,.66666669,1,3,0,0,15,15,0,.5,.5,.40000001,1,1,15,.5,.5,.66666669,.33333334,0,1,1,1,1,.5,0,0
110510_1250,18,1,3,44,1,.2,30,6,16,7,7,.53333336,.23333333,.23333333,1,3,0,0,16.200001,13.8,0,.54000002,.46000001,.5,0,1,0,0,.54000002,.53333336,.23333333,.23333333,0,1,0,1,.46000001,0,0
110510_1250,18,1,3,52,2,.2,30,6,0,23,7,0,.76666665,.23333333,1,3,1,0,16.200001,13.8,0,.54000002,.46000001,-1,1,1,16.200001,.54000002,.54000002,.76666665,.23333333,0,1,1,1,1,.46000001,0,0
110510_1250,18,1,3,48,3,.2,30,6,10,0,20,.33333334,0,.66666669,1,3,0,0,16.200001,13.8,0,.54000002,.46000001,.98000002,1,1,13.8,.46000001,.54000002,.66666669,.33333334,0,1,1,1,1,.46000001,0,0
110510_1250,18,1,4,43,1,.2,30,6,20,10,0,.66666669,.33333334,0,1,4,0,5.8000002,18.4,5.8000002,.19333334,.61333334,.19333334,.090000004,0,1,5.8000002,.19333334,.61333334,.66666669,.33333334,0,1,0,1,0,.19333334,.19333334,0
110510_1250,18,1,4,51,2,.2,30,6,10,20,0,.33333334,.66666669,0,1,4,1,5.8000002,18.4,5.8000002,.19333334,.61333334,.19333334,-1,1,1,18.4,.61333334,.61333334,.66666669,.33333334,0,1,0,1,0,.19333334,.19333334,0
110510_1250,18,1,4,46,3,.2,30,6,10,0,20,.33333334,0,.66666669,1,4,0,5.8000002,18.4,5.8000002,.19333334,.61333334,.19333334,1,1,1,5.8000002,.19333334,.61333334,.66666669,.33333334,0,1,0,1,0,.19333334,.19333334,0
110517_1727,1,1,1,58,1,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,3,0,13.6,0,16.4,.45333335,0,.54666668,-1,1,1,13.6,.45333335,.54666668,.33333334,.33333334,.33333334,0,1,0,1,.45333335,0,1
110517_1727,1,1,1,61,2,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,3,0,13.6,0,16.4,.45333335,0,.54666668,-1,0,1,0,0,.54666668,.33333334,.33333334,.33333334,0,1,0,1,.45333335,0,1
110517_1727,1,1,1,62,3,.40000001,30,12,15,0,15,.5,0,.5,1,3,1,13.6,0,16.4,.45333335,0,.54666668,-1,1,1,16.4,.54666668,.54666668,.5,.5,0,1,1,1,1,.45333335,0,0
110517_1727,1,1,2,57,1,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,0,2,0,10,8,12,.33333334,.26666668,.40000001,-1,1,1,10,.33333334,.40000001,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.26666668,1
110517_1727,1,1,2,64,2,.40000001,30,12,15,15,0,.5,.5,0,0,2,0,10,8,12,.33333334,.26666668,.40000001,-1,1,1,8,.26666668,.40000001,.5,.5,0,1,0,1,0,.33333334,.26666668,0
110517_1727,1,1,2,71,3,.40000001,30,12,10,8,12,.33333334,.26666668,.40000001,0,2,1,10,8,12,.33333334,.26666668,.40000001,-1,1,1,12,.40000001,.40000001,.40000001,.33333334,.26666668,0,0,0,0,.33333334,.26666668,0
110517_1727,1,1,3,60,1,.40000001,30,12,9,12,9,.30000001,.40000001,.30000001,0,4,0,7.5,7.5,15,.25,.25,.5,-1,1,1,7.5,.25,.5,.30000001,.40000001,.30000001,0,0,0,0,.25,.25,0
110517_1727,1,1,3,67,2,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,0,4,0,7.5,7.5,15,.25,.25,.5,-1,0,1,7.5,.25,.5,.33333334,.33333334,.33333334,0,0,0,0,.25,.25,1
110517_1727,1,1,3,69,3,.40000001,30,12,7.5,7.5,15,.25,.25,.5,0,4,1,7.5,7.5,15,.25,.25,.5,-1,1,1,15,.5,.5,.5,.25,.25,0,0,0,0,.25,.25,0
110517_1727,1,1,4,66,1,.40000001,30,12,13,8.5,8.5,.43333334,.28333333,.28333333,1,3,0,14.3,0,15.7,.47666666,0,.52333331,-1,1,1,14.3,.47666666,.52333331,.43333334,.28333333,.28333333,0,1,0,1,.47666666,0,0
110517_1727,1,1,4,55,2,.40000001,30,12,12.3,12.2,5.5,.41,.40666667,.18333334,1,3,0,14.3,0,15.7,.47666666,0,.52333331,-1,0,1,0,0,.52333331,.40666667,.41,.18333334,0,1,0,1,.47666666,0,0
110517_1727,1,1,4,65,3,.40000001,30,12,9,9,12,.30000001,.30000001,.40000001,1,3,1,14.3,0,15.7,.47666666,0,.52333331,-1,1,1,15.7,.52333331,.52333331,.40000001,.30000001,.30000001,0,1,0,1,.47666666,0,0
110517_1727,1,1,5,68,1,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110517_1727,1,1,5,72,2,.40000001,30,12,12,18,0,.40000001,.60000002,0,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,0,1,10,.33333334,.33333334,.60000002,.40000001,0,1,0,1,0,.33333334,.33333334,0
110517_1727,1,1,5,59,3,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110517_1727,1,1,6,70,1,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,3,0,14,0,16,.46666667,0,.53333336,-1,1,1,14,.46666667,.53333336,.33333334,.33333334,.33333334,0,1,0,1,.46666667,0,1
110517_1727,1,1,6,56,2,.40000001,30,12,0,20,10,0,.66666669,.33333334,1,3,0,14,0,16,.46666667,0,.53333336,-1,0,1,0,0,.53333336,.66666669,.33333334,0,1,1,1,1,.46666667,0,0
110517_1727,1,1,6,63,3,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,3,1,14,0,16,.46666667,0,.53333336,-1,1,1,16,.53333336,.53333336,.33333334,.33333334,.33333334,0,1,0,1,.46666667,0,1
110517_1727,2,1,1,64,1,0,30,0,15,15,0,.5,.5,0,0,3,0,3,12,15,.1,.40000001,.5,-1,1,1,3,.1,.5,.5,.5,0,1,0,1,1,.40000001,.1,0
110517_1727,2,1,1,59,2,0,30,0,12,10,8,.40000001,.33333334,.26666668,0,3,0,3,12,15,.1,.40000001,.5,-1,1,1,12,.40000001,.5,.33333334,.40000001,.26666668,0,0,0,1,.40000001,.1,0
110517_1727,2,1,1,60,3,0,30,0,3,12,15,.1,.40000001,.5,0,3,1,3,12,15,.1,.40000001,.5,-1,1,1,15,.5,.5,.5,.40000001,.1,0,0,1,1,.40000001,.1,0
110517_1727,2,1,2,61,1,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,3,0,13,0,17,.43333334,0,.56666666,-1,0,0,0,.43333334,.56666666,.33333334,.33333334,.33333334,0,1,0,1,.43333334,0,1
110517_1727,2,1,2,70,2,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,3,0,13,0,17,.43333334,0,.56666666,-1,0,0,0,0,.56666666,.33333334,.33333334,.33333334,0,1,0,1,.43333334,0,1
110517_1727,2,1,2,66,3,0,30,0,13,0,17,.43333334,0,.56666666,0,3,1,13,0,17,.43333334,0,.56666666,-1,1,0,0,.56666666,.56666666,.56666666,.43333334,0,1,1,1,1,.43333334,0,0
110517_1727,2,1,3,56,1,0,30,0,18,12,0,.60000002,.40000001,0,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.60000002,.40000001,0,1,0,1,0,.33333334,.33333334,0
110517_1727,2,1,3,62,2,0,30,0,15,15,0,.5,.5,0,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.5,0,1,0,1,0,.33333334,.33333334,0
110517_1727,2,1,3,57,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,5,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110517_1727,2,1,4,67,1,0,30,0,14,8,8,.46666667,.26666668,.26666668,1,4,0,14.3,0,15.7,.47666666,0,.52333331,-1,0,0,0,.47666666,.52333331,.46666667,.26666668,.26666668,0,1,0,1,.47666666,0,0
110517_1727,2,1,4,71,2,0,30,0,8,14,8,.26666668,.46666667,.26666668,1,4,0,14.3,0,15.7,.47666666,0,.52333331,-1,0,0,0,0,.52333331,.46666667,.26666668,.26666668,0,1,0,1,.47666666,0,0
110517_1727,2,1,4,55,3,0,30,0,14.3,0,15.7,.47666666,0,.52333331,1,4,1,14.3,0,15.7,.47666666,0,.52333331,-1,1,0,0,.52333331,.52333331,.52333331,.47666666,0,1,1,1,1,.47666666,0,0
110517_1727,2,1,5,58,1,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110517_1727,2,1,5,72,2,0,30,0,0,18,12,0,.60000002,.40000001,0,5,0,10,10,10,.33333334,.33333334,.33333334,-1,0,1,10,.33333334,.33333334,.60000002,.40000001,0,1,0,1,0,.33333334,.33333334,0
110517_1727,2,1,5,68,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,5,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
110517_1727,2,1,6,63,1,0,30,0,15,5,10,.5,.16666667,.33333334,0,3,0,9,9,12,.30000001,.30000001,.40000001,-1,1,1,9,.30000001,.40000001,.5,.33333334,.16666667,0,0,0,0,.30000001,.30000001,0
110517_1727,2,1,6,69,2,0,30,0,10,15,5,.33333334,.5,.16666667,0,3,0,9,9,12,.30000001,.30000001,.40000001,-1,1,1,9,.30000001,.40000001,.5,.33333334,.16666667,0,0,0,0,.30000001,.30000001,0
110517_1727,2,1,6,65,3,0,30,0,9,9,12,.30000001,.30000001,.40000001,0,3,1,9,9,12,.30000001,.30000001,.40000001,-1,1,1,12,.40000001,.40000001,.40000001,.30000001,.30000001,0,0,0,0,.30000001,.30000001,0
110517_1727,3,1,1,62,1,1,30,30,15,15,0,.5,.5,0,1,5,0,13,8.8000002,8.1999998,.43333334,.29333335,.27333334,-1,1,1,13,.43333334,.27333334,.5,.5,0,1,0,1,0,.43333334,.29333335,0
110517_1727,3,1,1,71,2,1,30,30,8,14,8,.26666668,.46666667,.26666668,1,5,0,13,8.8000002,8.1999998,.43333334,.29333335,.27333334,-1,1,1,8.8000002,.29333335,.27333334,.46666667,.26666668,.26666668,0,0,0,0,.43333334,.29333335,0
110517_1727,3,1,1,63,3,1,30,30,8,8,14,.26666668,.26666668,.46666667,1,5,1,13,8.8000002,8.1999998,.43333334,.29333335,.27333334,-1,1,1,8.1999998,.27333334,.27333334,.46666667,.26666668,.26666668,0,0,0,0,.43333334,.29333335,0
110517_1727,3,1,2,68,1,1,30,30,15,15,0,.5,.5,0,0,5,0,9,12,9,.30000001,.40000001,.30000001,-1,0,1,9,.30000001,.30000001,.5,.5,0,1,0,1,0,.40000001,.30000001,0
110517_1727,3,1,2,58,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,5,0,9,12,9,.30000001,.40000001,.30000001,-1,1,1,12,.40000001,.30000001,.33333334,.33333334,.33333334,0,0,0,0,.40000001,.30000001,1
110517_1727,3,1,2,60,3,1,30,30,9,12,9,.30000001,.40000001,.30000001,0,5,1,9,12,9,.30000001,.40000001,.30000001,-1,1,1,9,.30000001,.30000001,.30000001,.40000001,.30000001,0,0,0,0,.40000001,.30000001,0
110517_1727,3,1,3,64,1,1,30,30,15,15,0,.5,.5,0,1,3,0,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
110517_1727,3,1,3,69,2,1,30,30,10,15,5,.33333334,.5,.16666667,1,3,0,15,0,15,.5,0,.5,-1,0,1,0,0,.5,.5,.33333334,.16666667,0,1,0,1,.5,0,0
110517_1727,3,1,3,59,3,1,30,30,7.5,7.5,15,.25,.25,.5,1,3,1,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.5,.25,.25,0,1,0,1,.5,0,0
110517_1727,3,1,4,67,1,1,30,30,15,10,5,.5,.33333334,.16666667,0,5,0,14.3,0,15.7,.47666666,0,.52333331,-1,1,1,14.3,.47666666,.52333331,.5,.33333334,.16666667,0,1,0,1,.47666666,0,0
110517_1727,3,1,4,61,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,5,0,14.3,0,15.7,.47666666,0,.52333331,-1,0,1,0,0,.52333331,.33333334,.33333334,.33333334,0,1,0,1,.47666666,0,1
110517_1727,3,1,4,55,3,1,30,30,14.3,0,15.7,.47666666,0,.52333331,0,5,1,14.3,0,15.7,.47666666,0,.52333331,-1,1,1,15.7,.52333331,.52333331,.52333331,.47666666,0,1,1,1,1,.47666666,0,0
110517_1727,3,1,5,65,1,1,30,30,12,9,9,.40000001,.30000001,.30000001,1,3,0,14.1,0,15.9,.47,0,.52999997,-1,1,1,14.1,.47,.52999997,.40000001,.30000001,.30000001,0,1,0,1,.47,0,0
110517_1727,3,1,5,70,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,1,3,0,14.1,0,15.9,.47,0,.52999997,-1,0,1,0,0,.52999997,.33333334,.33333334,.33333334,0,1,0,1,.47,0,1
110517_1727,3,1,5,57,3,1,30,30,11,5,14,.36666667,.16666667,.46666667,1,3,1,14.1,0,15.9,.47,0,.52999997,-1,1,1,15.9,.52999997,.52999997,.46666667,.36666667,.16666667,0,1,0,1,.47,0,0
110517_1727,3,1,6,72,1,1,30,30,17,13,0,.56666666,.43333334,0,1,3,0,14.7,0,15.3,.48999998,0,.50999999,-1,1,1,14.7,.48999998,.50999999,.56666666,.43333334,0,1,1,1,1,.48999998,0,0
110517_1727,3,1,6,66,2,1,30,30,13,17,0,.43333334,.56666666,0,1,3,0,14.7,0,15.3,.48999998,0,.50999999,-1,0,1,0,0,.50999999,.56666666,.43333334,0,1,1,1,1,.48999998,0,0
110517_1727,3,1,6,56,3,1,30,30,12,0,18,.40000001,0,.60000002,1,3,1,14.7,0,15.3,.48999998,0,.50999999,-1,1,1,15.3,.50999999,.50999999,.60000002,.40000001,0,1,1,1,1,.48999998,0,0
110517_1727,4,1,1,68,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,2,0,0,15,15,0,.5,.5,-1,0,1,0,0,.5,.33333334,.33333334,.33333334,0,1,0,1,.5,0,1
110517_1727,4,1,1,66,2,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,2,0,0,15,15,0,.5,.5,-1,1,1,15,.5,.5,.33333334,.33333334,.33333334,0,1,0,1,.5,0,1
110517_1727,4,1,1,65,3,.60000002,30,18,0,15,15,0,.5,.5,0,2,1,0,15,15,0,.5,.5,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
110517_1727,4,1,2,63,1,.60000002,30,18,14,8,8,.46666667,.26666668,.26666668,1,4,0,5.3000002,5.3000002,19.4,.17666668,.17666668,.64666665,-1,1,1,5.3000002,.17666668,.64666665,.46666667,.26666668,.26666668,0,0,0,0,.17666668,.17666668,0
110517_1727,4,1,2,70,2,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,4,0,5.3000002,5.3000002,19.4,.17666668,.17666668,.64666665,-1,0,1,5.3000002,.17666668,.64666665,.33333334,.33333334,.33333334,0,0,0,0,.17666668,.17666668,1
110517_1727,4,1,2,71,3,.60000002,30,18,9,8,13,.30000001,.26666668,.43333334,1,4,1,5.3000002,5.3000002,19.4,.17666668,.17666668,.64666665,-1,1,1,19.4,.64666665,.64666665,.43333334,.30000001,.26666668,0,0,0,0,.17666668,.17666668,0
110517_1727,4,1,3,72,1,.60000002,30,18,16,0,14,.53333336,0,.46666667,1,4,0,7.0999999,7,15.9,.23666666,.23333333,.52999997,-1,0,1,7.0999999,.23666666,.52999997,.53333336,.46666667,0,1,0,1,0,.23666666,.23333333,0
110517_1727,4,1,3,57,2,.60000002,30,18,11,9,10,.36666667,.30000001,.33333334,1,4,0,7.0999999,7,15.9,.23666666,.23333333,.52999997,-1,1,1,7,.23333333,.52999997,.30000001,.36666667,.33333334,0,0,0,0,.23666666,.23333333,0
110517_1727,4,1,3,59,3,.60000002,30,18,7.5,10.5,12,.25,.34999999,.40000001,1,4,1,7.0999999,7,15.9,.23666666,.23333333,.52999997,-1,1,1,15.9,.52999997,.52999997,.40000001,.34999999,.25,0,0,0,0,.23666666,.23333333,0
110517_1727,4,1,4,64,1,.60000002,30,18,16,14,0,.53333336,.46666667,0,0,2,0,1,13,16,.033333335,.43333334,.53333336,-1,0,1,1,.033333335,.53333336,.53333336,.46666667,0,1,0,1,1,.43333334,.033333335,0
110517_1727,4,1,4,55,2,.60000002,30,18,12.1,13.3,4.5999999,.40333334,.44333333,.15333334,0,2,0,1,13,16,.033333335,.43333334,.53333336,-1,1,1,13,.43333334,.53333336,.44333333,.40333334,.15333334,0,0,0,1,.43333334,.033333335,0
110517_1727,4,1,4,67,3,.60000002,30,18,1,13,16,.033333335,.43333334,.53333336,0,2,1,1,13,16,.033333335,.43333334,.53333336,-1,1,1,16,.53333336,.53333336,.53333336,.43333334,.033333335,0,0,1,1,.43333334,.033333335,0
110517_1727,4,1,5,60,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,3,0,10,0,20,.33333334,0,.66666669,-1,1,1,10,.33333334,.66666669,.33333334,.33333334,.33333334,0,1,0,1,.33333334,0,1
110517_1727,4,1,5,58,2,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,3,0,10,0,20,.33333334,0,.66666669,-1,0,1,0,0,.66666669,.33333334,.33333334,.33333334,0,1,0,1,.33333334,0,1
110517_1727,4,1,5,56,3,.60000002,30,18,10,0,20,.33333334,0,.66666669,0,3,1,10,0,20,.33333334,0,.66666669,-1,1,1,20,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
110517_1727,4,1,6,61,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,3,0,11.6,0,18.4,.38666669,0,.61333334,-1,0,0,0,.38666669,.61333334,.33333334,.33333334,.33333334,0,1,0,1,.38666669,0,1
110517_1727,4,1,6,62,2,.60000002,30,18,15,15,0,.5,.5,0,1,3,0,11.6,0,18.4,.38666669,0,.61333334,-1,0,0,0,0,.61333334,.5,.5,0,1,1,1,1,.38666669,0,0
110517_1727,4,1,6,69,3,.60000002,30,18,15,0,15,.5,0,.5,1,3,1,11.6,0,18.4,.38666669,0,.61333334,-1,1,0,0,.61333334,.61333334,.5,.5,0,1,1,1,1,.38666669,0,0
110517_1727,4,2,6,61,1,.60000002,18,10.8,6,6,6,.33333334,.33333334,.33333334,0,4,0,7,1,10,.3888889,.055555556,.55555558,-1,0,0,0,.3888889,.55555558,.33333334,.33333334,.33333334,0,0,0,1,.3888889,.055555556,1
110517_1727,4,2,6,62,2,.60000002,18,10.8,0,9,9,0,.5,.5,0,4,0,7,1,10,.3888889,.055555556,.55555558,-1,0,0,0,.055555556,.55555558,.5,.5,0,1,0,1,1,.3888889,.055555556,0
110517_1727,4,2,6,69,3,.60000002,18,10.8,7,1,10,.3888889,.055555556,.55555558,0,4,1,7,1,10,.3888889,.055555556,.55555558,-1,1,0,0,.55555558,.55555558,.55555558,.3888889,.055555556,0,0,1,1,.3888889,.055555556,0
