* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.4784	.5029	1	1	"32//2"	65.18	49.72	"Montané"	"Yvon"	"I"	"N"	"PS/G"	35563	0
.5216	.4971	1	1	"32//2"	49.72	65.18	"Dubrac"	"Gérard"	"N"	"I"	"UMP/D"	22766	10000
.4029	.4501	0	0	"33//1"	46.24	56.33	"Desaigues"	"Béatrice"	"L"	"N"	"PS"	31555	421
.5971	.5499	0	0	"33//1"	56.33	46.24	"Bourrague"	"Chantal"	"N"	"L"	"UMP/UDF"	38914	10000
.4884	.5576	1	1	"33//10"	53.4	46.33	"Mitterrand"	"Gilbert"	"I"	"N"	"PS"	21278	421
.5116	.4424	1	1	"33//10"	46.33	53.4	"Garraud"	"Jean-Paul"	"N"	"I"	"UMP"	57208	17700
.515	.5806	1	1	"33//11"	58.18	45.36	"Madrelle"	"Bernard"	"I"	"L"	"PS/G"	36071	421
.485	.4194	1	1	"33//11"	45.36	58.18	"Picotin"	"Daniel"	"L"	"I"	"UDF/UMP"	56499	6099
.5549	.5399	1	0	"33//2"	56.87	32.78	"Juppé"	"Alain"	"I"	"N"	"UMP/UDF"	33295	3050
.4451	.4601	0	1	"33//2"	32.78	56.87	"Paoletti"	"Marion"	"N"	"I"	"PS"	32754	2342
.5464	.6091	1	1	"33//3"	53.51	57.85	"Mamère"	"Noël"	"I"	"L"	"PS/G"	46591	16500
.4536	.3909	1	1	"33//3"	57.85	53.51	"Cazabonne"	"Alain"	"L"	"I"	"UMP/D"	27207	4574
.5929	.6371	0	1	"33//4"	58.75	60.49	"Lacuey"	"Conchita"	"I"	"N"	"PS/G"	31894	421
.4071	.3629	1	0	"33//4"	60.49	58.75	"Martin"	"Hugues"	"N"	"I"	"UMP/UDF"	40506	17650
.471	.5489	1	1	"33//5"	69.1	54.92	"Brana"	"Pierre"	"I"	"N"	"PS"	33859	1907
.529	.4511	1	1	"33//5"	54.92	69.1	"Regère"	"Jean-François"	"N"	"I"	"UDF/UMP"	61250	12196
.5159	.5575	1	1	"33//6"	63.87	62.24	"Sainte-Marie"	"Michel"	"I"	"L"	"PS"	35689	421
.4841	.4425	1	1	"33//6"	62.24	63.87	"Favre"	"Pierre"	"L"	"I"	"UMP/UDF"	36436	6000
.5715	.6068	1	1	"33//7"	59.55	49.64	"Ducout"	"Pierre"	"I"	"L"	"PS"	43176	421
.4285	.3932	1	1	"33//7"	49.64	59.55	"Dufranc"	"Michel"	"L"	"I"	"UMP/UDF"	53620	17700
.4748	.5194	1	0	"33//8"	45.61	52.09	"Deluga"	"François"	"I"	"N"	"PS/G"	49382	421
.5252	.4806	0	1	"33//8"	52.09	45.61	"des Esgaulx"	"Marie-Hélène"	"N"	"I"	"UMP/UDF"	58883	20750
.4972	.5586	0	1	"33//9"	67.41	63.98	"Trupin"	"Odette"	"I"	"L"	"PS/G"	38152	421
.5028	.4414	1	0	"33//9"	63.98	67.41	"Dubourg"	"Philippe"	"L"	"I"	"UMP/UDF"	17601	13050
.4573	.4423	1	1	"34//1"	59.92	60.37	"Roseau"	"Gilbert"	"I"	"N"	"PS/G"	24494	0
.5427	.4215	1	1	"34//1"	60.37	59.92	"Jeanjean"	"Christian"	"N"	"I"	"UMP/D"	53586	10000
.4968	.5376	1	1	"34//2"	63.98	49.26	"Frêche"	"Georges"	"I"	"N"	"PS/G"	37756	0
.5032	.4624	1	1	"34//2"	49.26	63.98	"Domergue"	"Jacques"	"N"	"I"	"UMP/D"	56827	10000
