* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
2	2	1	30	33	.3333333	4	11	3	0	14	16	1	1	22802	0	0
2	2	1	30	33	.3333333	4	12	1	25	2.5	2.5	0	0	22802	0	0
2	3	1	30	33	.3333333	1	2	3	1	9	20	0	1	22802	0	0
2	3	1	30	33	.3333333	1	4	1	20	0	10	0	0	22802	0	0
2	3	1	30	33	.3333333	1	6	2	10	10	10	1	1	22802	0	0
3	1	1	30	33	.3333333	1	7	1	18	12	0	0	0	22802	0	0
3	1	1	30	33	.3333333	1	8	2	15	15	0	0	0	22802	0	0
3	1	1	30	33	.3333333	1	9	3	0	10	20	1	1	22802	0	0
3	1	1	30	33	.3333333	2	6	3	10	10	10	1	1	22802	0	0
3	1	1	30	33	.3333333	2	10	2	12	18	0	0	1	22802	0	0
3	1	1	30	33	.3333333	2	11	1	16	14	0	0	1	22802	0	0
3	1	1	30	33	.3333333	3	4	1	20	0	10	0	0	22802	0	0
3	1	1	30	33	.3333333	3	5	2	2	20	8	1	1	22802	0	0
3	1	1	30	33	.3333333	3	12	3	12	4	14	0	0	22802	0	0
3	1	1	30	33	.3333333	4	1	2	5	20	5	0	0	22802	0	0
3	1	1	30	33	.3333333	4	2	1	5	5	20	0	0	22802	0	0
3	1	1	30	33	.3333333	4	3	3	5	5	20	1	1	22802	0	0
3	2	1	30	33	.3333333	1	7	1	17	13	0	0	0	22802	0	0
3	2	1	30	33	.3333333	1	8	2	0	15	15	0	0	22802	0	0
3	2	1	30	33	.3333333	1	9	3	10	0	20	1	1	22802	0	0
3	2	1	30	33	.3333333	3	4	1	20	0	10	0	1	22802	0	0
3	2	1	30	33	.3333333	3	5	2	0	30	0	0	0	22802	0	0
